https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BA,Volume USDT,tradecount
1751895000000,2025-07-07,BA,215.60,218.63,214.50,218.63,5807400,1269671890.36,0
1751549400000,2025-07-03,BA,211.79,217.68,211.67,215.92,4476100,966479503.80,0
1751463000000,2025-07-02,BA,210.40,214.40,208.25,212.03,5870900,1244806919.83,0
1751376600000,2025-07-01,BA,209.50,211.86,206.77,209.79,5978900,1254313390.86,0
1751290200000,2025-06-30,BA,213.88,214.71,208.02,209.53,9087100,1904020051.91,0
1751031000000,2025-06-27,BA,205.11,214.81,204.38,214.55,14805400,3176498615.18,0
1750944600000,2025-06-26,BA,200.41,204.39,199.76,202.58,6931700,1404223798.69,0
1750858200000,2025-06-25,BA,201.00,201.13,198.30,198.90,4690900,933019981.37,0
1750771800000,2025-06-24,BA,203.00,203.51,200.18,200.94,5900900,1185726860.41,0
1750685400000,2025-06-23,BA,197.83,202.20,197.47,201.31,5875200,1182736497.66,0
1750426200000,2025-06-20,BA,198.66,200.68,197.45,198.75,8934700,1775771625.00,0
1750253400000,2025-06-18,BA,199.00,201.06,196.80,197.68,7928300,1567266285.93,0
1750167000000,2025-06-17,BA,201.31,205.31,198.87,200.26,10844600,2171739536.43,0
1750080600000,2025-06-16,BA,200.57,204.00,199.08,201.70,6902700,1392274568.93,0
1749821400000,2025-06-13,BA,200.68,202.23,195.28,200.32,16093500,3223850037.87,0
1749735000000,2025-06-12,BA,202.17,206.34,201.28,203.75,30586600,6232019750.00,0
1749648600000,2025-06-11,BA,215.50,216.21,212.21,214.00,5398800,1155343200.00,0
1749562200000,2025-06-10,BA,217.58,217.90,213.25,215.73,8190100,1766850238.01,0
1749475800000,2025-06-09,BA,211.23,218.80,211.09,217.51,9419200,2048770140.26,0
1749216600000,2025-06-06,BA,210.24,211.11,208.04,210.80,6079700,1281600778.55,0
1749130200000,2025-06-05,BA,212.50,212.99,208.22,209.02,4733800,989458896.22,0
1749043800000,2025-06-04,BA,214.77,214.99,211.03,211.98,5705300,1209409469.62,0
1748957400000,2025-06-03,BA,212.00,215.80,211.77,213.43,8106100,1730084863.63,0
1748871000000,2025-06-02,BA,210.98,212.34,207.90,211.47,7561800,1599093855.23,0
1748611800000,2025-05-30,BA,206.77,207.70,204.35,207.32,7485100,1551810986.82,0
1748525400000,2025-05-29,BA,201.78,212.28,201.50,208.18,16334000,3400412000.37,0
1748439000000,2025-05-28,BA,201.95,202.45,200.22,201.50,5481500,1104522250.00,0
1748352600000,2025-05-27,BA,204.28,205.00,200.88,201.03,5857900,1177613629.85,0
1748007000000,2025-05-23,BA,199.95,203.20,198.75,202.36,5255200,1063442275.21,0
1747920600000,2025-05-22,BA,202.53,204.73,201.85,203.41,3634500,739293658.31,0
1747834200000,2025-05-21,BA,206.60,207.12,202.43,203.21,6616300,1344498367.42,0
1747747800000,2025-05-20,BA,205.00,208.62,205.00,207.67,5876000,1220268909.24,0
1747661400000,2025-05-19,BA,203.00,205.60,202.30,205.25,5740200,1178176050.00,0
1747402200000,2025-05-16,BA,205.69,206.24,203.02,205.82,8496800,1748811438.23,0
1747315800000,2025-05-15,BA,207.35,208.60,205.42,206.24,9583900,1976583588.65,0
1747229400000,2025-05-14,BA,205.80,209.66,204.05,204.72,16872300,3454097276.60,0
1747143000000,2025-05-13,BA,200.30,205.73,199.67,203.42,13509500,2748102465.26,0
1747056600000,2025-05-12,BA,198.16,198.78,193.06,198.53,9340700,1854409159.60,0
1746797400000,2025-05-09,BA,193.55,195.30,192.18,194.85,7669900,1494480061.81,0
1746711000000,2025-05-08,BA,186.76,194.75,186.22,191.70,15344100,2941463923.17,0
1746624600000,2025-05-07,BA,185.00,186.72,183.50,185.56,6094800,1130951073.12,0
1746538200000,2025-05-06,BA,184.71,186.20,183.63,185.96,4948000,920130113.22,0
1746451800000,2025-05-05,BA,184.39,187.58,184.39,186.46,5413700,1009438538.35,0
1746192600000,2025-05-02,BA,185.00,187.58,184.08,185.46,8695900,1612741672.38,0
1746106200000,2025-05-01,BA,182.85,184.75,182.03,182.89,7322900,1339285176.53,0
1746019800000,2025-04-30,BA,178.47,183.79,177.63,183.24,6266800,1148328466.42,0
1745933400000,2025-04-29,BA,182.52,184.25,181.20,182.00,6795000,1236690000.00,0
1745847000000,2025-04-28,BA,182.75,184.53,180.75,182.30,9302600,1695864008.39,0
1745587800000,2025-04-25,BA,176.50,180.33,175.86,177.95,7644200,1360285366.67,0
1745501400000,2025-04-24,BA,171.20,177.40,169.00,176.26,10984200,1936075031.66,0
1745415000000,2025-04-23,BA,174.00,176.58,169.91,172.37,16264700,2803546259.58,0
1745328600000,2025-04-22,BA,162.50,163.09,158.50,162.52,9147300,1486619235.08,0
1745242200000,2025-04-21,BA,160.00,160.00,156.47,159.34,5703800,908843471.11,0
1744896600000,2025-04-17,BA,157.13,163.90,157.00,161.90,9227300,1493899813.68,0
1744810200000,2025-04-16,BA,154.37,157.66,153.54,156.47,6809600,1065498120.31,0
1744723800000,2025-04-15,BA,155.28,159.12,155.28,155.52,11541100,1794871921.31,0
1744637400000,2025-04-14,BA,159.82,162.55,157.60,159.28,7288700,1160944127.10,0
