https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ORCL,Volume USDT,tradecount
1686749400000,2023-06-14,ORCL,116.50,122.51,115.74,122.27,26264200,3211323645.83,0
1686663000000,2023-06-13,ORCL,123.32,123.99,116.02,116.68,39190900,4572794223.96,0
1686576600000,2023-06-12,ORCL,114.34,117.51,114.34,116.43,39081500,4550259056.93,0
1686317400000,2023-06-09,ORCL,107.70,110.15,107.41,109.85,12597100,1383791415.78,0
1686231000000,2023-06-08,ORCL,105.67,107.79,105.35,107.48,9526700,1023929747.98,0
1686144600000,2023-06-07,ORCL,107.14,108.37,104.84,105.25,9842500,1035923125.00,0
1686058200000,2023-06-06,ORCL,106.81,107.49,106.15,107.10,7023000,752163289.28,0
1685971800000,2023-06-05,ORCL,105.89,107.60,105.53,106.93,7442000,795773062.27,0
1685712600000,2023-06-02,ORCL,106.52,106.77,105.75,105.89,8652400,916202630.72,0
1685626200000,2023-06-01,ORCL,104.88,106.61,104.78,105.99,7835900,830527024.26,0
1685539800000,2023-05-31,ORCL,104.47,106.49,104.15,105.94,13713500,1452808223.48,0
1685453400000,2023-05-30,ORCL,104.90,105.98,104.19,105.15,10296700,1082698020.71,0
1685107800000,2023-05-26,ORCL,104.35,106.23,104.03,104.08,13994100,1456505953.62,0
1685021400000,2023-05-25,ORCL,99.20,104.66,98.77,104.29,16729600,1744729999.32,0
1684935000000,2023-05-24,ORCL,97.95,98.88,97.29,98.32,6815900,670139285.92,0
1684848600000,2023-05-23,ORCL,101.07,101.43,98.47,98.54,10047300,990060951.20,0
1684762200000,2023-05-22,ORCL,102.48,103.10,101.73,101.77,5890500,599476165.23,0
1684503000000,2023-05-19,ORCL,102.39,103.07,101.92,102.84,8560300,880341220.65,0
1684416600000,2023-05-18,ORCL,99.77,102.46,99.73,102.34,10005700,1023983301.36,0
1684330200000,2023-05-17,ORCL,98.78,100.40,98.43,99.77,9436000,941429688.32,0
1684243800000,2023-05-16,ORCL,97.17,98.85,96.92,98.25,6896500,677581125.00,0
1684157400000,2023-05-15,ORCL,97.87,97.96,97.05,97.26,4443700,432194271.49,0
1683898200000,2023-05-12,ORCL,97.61,97.92,96.93,97.85,4994700,488731387.38,0
1683811800000,2023-05-11,ORCL,97.54,97.63,96.34,97.44,5144500,501280092.56,0
1683725400000,2023-05-10,ORCL,96.79,97.68,96.26,97.52,5935300,578810436.08,0
1683639000000,2023-05-09,ORCL,96.20,96.89,96.10,96.14,6333500,608902686.13,0
1683552600000,2023-05-08,ORCL,97.08,97.28,96.44,96.79,5314800,514419496.87,0
1683293400000,2023-05-05,ORCL,95.00,97.31,94.83,96.97,8068600,782412151.85,0
1683207000000,2023-05-04,ORCL,94.98,95.12,94.41,94.97,5038200,478477860.15,0
1683120600000,2023-05-03,ORCL,95.07,95.42,94.54,94.78,6744800,639272135.77,0
1683034200000,2023-05-02,ORCL,94.93,95.24,93.85,94.80,5995100,568335498.30,0
1682947800000,2023-05-01,ORCL,94.80,95.73,94.70,94.87,5459800,517971241.00,0
1682688600000,2023-04-28,ORCL,94.27,95.40,94.24,94.72,8498500,804977930.37,0
1682602200000,2023-04-27,ORCL,94.31,95.09,93.29,95.04,5615700,533716133.14,0
1682515800000,2023-04-26,ORCL,93.75,94.81,93.34,93.71,6395500,599322299.14,0
1682429400000,2023-04-25,ORCL,95.14,95.70,94.02,94.06,5768800,542613313.92,0
1682343000000,2023-04-24,ORCL,95.34,96.08,94.97,95.44,4901700,467818259.97,0
1682083800000,2023-04-21,ORCL,95.01,95.31,94.26,95.15,7335800,698001381.19,0
1681997400000,2023-04-20,ORCL,96.00,96.15,94.60,94.83,5815500,551483875.65,0
1681911000000,2023-04-19,ORCL,95.59,96.47,95.59,95.81,4766200,456649610.36,0
1681824600000,2023-04-18,ORCL,96.00,96.74,95.77,96.47,7219400,696455526.81,0
1681738200000,2023-04-17,ORCL,95.64,95.99,95.31,95.59,4772400,456193698.52,0
1681479000000,2023-04-14,ORCL,95.50,95.99,94.68,95.71,6485100,620688915.06,0
1681392600000,2023-04-13,ORCL,94.18,95.75,93.94,95.55,6240200,596251129.04,0
1681306200000,2023-04-12,ORCL,94.38,95.32,93.60,93.90,8040300,754984182.27,0
1681219800000,2023-04-11,ORCL,93.46,94.13,93.20,93.97,8196000,770178130.00,0
1681133400000,2023-04-10,ORCL,94.68,95.11,93.55,93.76,8681500,813977458.55,0
1680787800000,2023-04-06,ORCL,94.33,96.08,93.99,95.92,9146200,877303487.25,0
1680701400000,2023-04-05,ORCL,93.62,95.11,93.48,94.89,7478800,709663327.44,0
1680615000000,2023-04-04,ORCL,93.85,94.02,92.93,94.00,6651500,625241000.00,0
1680528600000,2023-04-03,ORCL,92.38,94.00,92.09,93.92,8410900,789951712.60,0
1680269400000,2023-03-31,ORCL,90.56,93.00,90.41,92.92,10476300,973457776.82,0
1680183000000,2023-03-30,ORCL,90.85,91.18,89.71,90.51,5640700,510539769.05,0
1680096600000,2023-03-29,ORCL,90.13,90.66,89.81,90.62,5233600,474268846.37,0
1680010200000,2023-03-28,ORCL,90.22,90.88,89.48,89.85,6378900,573144155.27,0
1679923800000,2023-03-27,ORCL,88.62,90.50,88.55,90.14,8170100,736452809.01,0
1679664600000,2023-03-24,ORCL,87.98,88.48,87.51,88.01,5852100,515043333.50,0
1679578200000,2023-03-23,ORCL,88.65,89.64,87.64,87.78,10747100,943380424.88,0
1679491800000,2023-03-22,ORCL,87.54,89.16,87.44,87.90,7233700,635842241.04,0
1679405400000,2023-03-21,ORCL,87.49,87.85,86.66,87.58,6683700,585358458.24,0
1679319000000,2023-03-20,ORCL,85.28,87.51,85.25,86.96,9177300,798057999.60,0
1679059800000,2023-03-17,ORCL,85.00,85.98,84.61,85.26,13065800,1113990135.91,0
1678973400000,2023-03-16,ORCL,82.92,85.11,82.08,84.82,10148100,860761838.90,0
1678887000000,2023-03-15,ORCL,83.08,83.37,82.12,82.98,11463000,951199778.48,0
1678800600000,2023-03-14,ORCL,85.93,85.93,83.43,84.56,8732200,738394810.68,0
1678714200000,2023-03-13,ORCL,83.32,85.53,82.04,84.93,10299800,874762017.14,0
1678458600000,2023-03-10,ORCL,84.41,85.25,82.88,84.07,16029300,1347583246.11,0
1678372200000,2023-03-09,ORCL,88.33,89.64,86.53,86.87,10572300,918415730.04,0
1678285800000,2023-03-08,ORCL,88.40,89.09,88.15,88.49,5159200,456537596.98,0
1678199400000,2023-03-07,ORCL,89.58,90.08,88.05,88.36,5382400,475588867.29,0
1678113000000,2023-03-06,ORCL,89.41,90.67,89.15,89.74,7424800,666301536.14,0
1677853800000,2023-03-03,ORCL,87.32,89.29,87.08,89.25,5498500,490741125.00,0
1677767400000,2023-03-02,ORCL,86.06,87.28,85.87,86.97,5293600,460384398.46,0
1677681000000,2023-03-01,ORCL,86.90,87.21,85.99,86.34,5119800,442043513.25,0
1677594600000,2023-02-28,ORCL,87.70,88.01,87.18,87.40,7468000,652703211.40,0
1677508200000,2023-02-27,ORCL,88.86,88.97,87.36,87.96,6748800,593624441.82,0
1677249000000,2023-02-24,ORCL,87.31,88.89,87.14,88.66,7659200,679064700.05,0
1677162600000,2023-02-23,ORCL,87.15,89.48,87.06,88.58,8637100,765074333.82,0
1677076200000,2023-02-22,ORCL,86.68,87.18,85.98,86.32,5840100,504117430.22,0
1676989800000,2023-02-21,ORCL,86.76,86.94,86.15,86.20,5260300,453437843.95,0
1676644200000,2023-02-17,ORCL,87.20,87.43,86.51,87.28,6398400,558452344.19,0
