https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AMZN,Volume USDT,tradecount
1679578200000,2023-03-23,AMZN,100.43,101.06,97.62,98.71,57559300,5681678450.30,0
1679491800000,2023-03-22,AMZN,100.45,102.10,98.61,98.70,57475400,5672821804.60,0
1679405400000,2023-03-21,AMZN,98.14,100.85,98.00,100.61,58597300,5895474388.76,0
1679319000000,2023-03-20,AMZN,98.41,98.48,95.70,97.71,62388900,6096019361.88,0
1679059800000,2023-03-17,AMZN,99.79,100.66,97.46,98.95,87300200,8638354523.58,0
1678973400000,2023-03-16,AMZN,95.75,100.99,95.61,100.04,84446900,8448067953.31,0
1678887000000,2023-03-15,AMZN,93.22,96.67,93.07,96.20,70731800,6804398944.14,0
1678800600000,2023-03-14,AMZN,93.83,95.07,92.71,94.88,60912700,5779396808.70,0
1678714200000,2023-03-13,AMZN,89.97,94.02,88.12,92.43,72397100,6691663975.09,0
1678458600000,2023-03-10,AMZN,92.67,93.57,90.25,90.73,69827500,6335449309.41,0
1678372200000,2023-03-09,AMZN,93.68,96.21,92.18,92.25,56218700,5186175075.00,0
1678285800000,2023-03-08,AMZN,93.60,94.17,92.18,93.92,44899100,4216923389.79,0
1678199400000,2023-03-07,AMZN,94.06,95.09,92.78,93.55,49100700,4593370634.84,0
1678113000000,2023-03-06,AMZN,95.19,96.55,93.74,93.75,52112400,4885537500.00,0
1677853800000,2023-03-03,AMZN,92.74,94.94,92.66,94.90,55759600,5291586125.08,0
1677767400000,2023-03-02,AMZN,91.41,92.23,90.39,92.13,55509400,5114080869.54,0
1677681000000,2023-03-01,AMZN,93.87,94.68,91.59,92.17,52299500,4820444819.24,0
1677594600000,2023-02-28,AMZN,93.14,94.69,92.92,94.23,43959300,4142284986.57,0
1677508200000,2023-02-27,AMZN,94.28,94.78,93.14,93.76,47470300,4450815429.41,0
1677249000000,2023-02-24,AMZN,93.53,94.14,92.32,93.50,57053800,5334530300.00,0
1677162600000,2023-02-23,AMZN,96.12,96.43,93.67,95.82,48467000,4644107925.21,0
1677076200000,2023-02-22,AMZN,95.10,97.01,94.80,95.79,59534100,5702771493.51,0
1676989800000,2023-02-21,AMZN,95.34,95.61,94.27,94.58,56580400,5351374335.60,0
1676644200000,2023-02-17,AMZN,97.80,97.94,95.65,97.20,60029400,5834857496.80,0
1676557800000,2023-02-16,AMZN,99.21,100.63,98.10,98.15,56339200,5529692565.97,0
1676471400000,2023-02-15,AMZN,99.09,101.17,98.45,101.16,47957600,4851390991.63,0
1676385000000,2023-02-14,AMZN,98.41,100.92,97.52,99.70,56202900,5603428958.48,0
1676298600000,2023-02-13,AMZN,97.85,99.68,96.91,99.54,52841500,5259842958.38,0
1676039400000,2023-02-10,AMZN,97.56,98.82,96.23,97.61,52740100,5147961193.19,0
1675953000000,2023-02-09,AMZN,101.32,101.78,97.57,98.24,64622500,6348514261.95,0
1675866600000,2023-02-08,AMZN,102.04,102.67,98.78,100.05,75878300,7591624146.56,0
1675780200000,2023-02-07,AMZN,101.17,102.41,98.08,102.11,119501300,12202277815.94,0
1675693800000,2023-02-06,AMZN,102.93,103.95,100.65,102.18,81945200,8373160561.01,0
1675434600000,2023-02-03,AMZN,105.26,108.78,102.52,103.39,144374800,14926910483.88,0
1675348200000,2023-02-02,AMZN,110.25,114.00,108.88,112.91,158154200,17857191301.18,0
1675261800000,2023-02-01,AMZN,102.53,106.24,101.24,105.15,80450100,8459328137.76,0
1675175400000,2023-01-31,AMZN,101.16,103.35,101.14,103.13,66527300,6860960266.28,0
1675089000000,2023-01-30,AMZN,101.09,101.74,99.01,100.55,70691900,7108070760.73,0
1674829800000,2023-01-27,AMZN,99.53,103.49,99.53,102.24,87775600,8974177156.49,0
1674743400000,2023-01-26,AMZN,98.24,99.49,96.92,99.22,68523600,6798911675.65,0
1674657000000,2023-01-25,AMZN,92.56,97.24,91.52,97.18,94261600,9160342316.77,0
1674570600000,2023-01-24,AMZN,96.93,98.09,96.00,96.32,66929500,6446649419.57,0
1674484200000,2023-01-23,AMZN,97.56,97.78,95.86,97.52,76501100,7460387015.19,0
1674225000000,2023-01-20,AMZN,93.86,97.35,93.20,97.25,67481500,6562575875.00,0
1674138600000,2023-01-19,AMZN,94.74,95.44,92.86,93.68,69002700,6464172957.06,0
1674052200000,2023-01-18,AMZN,97.25,99.32,95.38,95.46,79570400,7595790311.15,0
1673965800000,2023-01-17,AMZN,98.68,98.89,95.73,96.05,72755000,6988117972.03,0
1673620200000,2023-01-13,AMZN,94.18,98.37,94.12,98.12,85549400,8394107362.97,0
1673533800000,2023-01-12,AMZN,96.93,97.19,93.50,95.27,85254800,8122224509.81,0
1673447400000,2023-01-11,AMZN,90.93,95.26,90.93,95.09,103126200,9806269980.34,0
1673361000000,2023-01-10,AMZN,87.57,90.19,87.29,89.87,67756600,6089285828.10,0
1673274600000,2023-01-09,AMZN,87.46,89.48,87.08,87.36,65266100,5701646535.84,0
1673015400000,2023-01-06,AMZN,83.03,86.40,81.43,86.08,83303400,7170756824.53,0
