https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume GOOGL,Volume USDT,tradecount
1702564200000,2023-12-14,GOOGL,133.38,133.72,129.69,131.94,38722400,5109033550.54,0
1702477800000,2023-12-13,GOOGL,133.38,133.50,131.57,132.57,30104800,3990993556.49,0
1702391400000,2023-12-12,GOOGL,131.81,133.00,131.26,132.52,29032800,3847426780.04,0
1702305000000,2023-12-11,GOOGL,132.38,133.34,131.36,133.29,31138000,4150383810.94,0
1702045800000,2023-12-08,GOOGL,134.20,136.40,134.03,134.99,32260100,4354791076.21,0
1701959400000,2023-12-07,GOOGL,135.04,138.56,134.70,136.93,56767100,7773118587.23,0
1701873000000,2023-12-06,GOOGL,131.44,131.84,129.88,130.02,23576200,3065377624.73,0
1701786600000,2023-12-05,GOOGL,128.95,132.14,128.25,130.99,27384800,3587135102.43,0
1701700200000,2023-12-04,GOOGL,129.88,130.03,127.90,129.27,36669900,4740318129.67,0
1701441000000,2023-12-01,GOOGL,131.86,132.11,130.67,131.86,31442300,4145981697.19,0
1701354600000,2023-11-30,GOOGL,135.05,135.55,131.28,132.53,38988300,5167119351.41,0
1701268200000,2023-11-29,GOOGL,137.57,138.29,134.84,134.99,23967200,3235332459.66,0
1701181800000,2023-11-28,GOOGL,136.08,137.25,135.42,137.20,18730000,2569755942.84,0
1701095400000,2023-11-27,GOOGL,136.03,138.42,136.00,136.41,23436500,3196973050.83,0
1700836200000,2023-11-24,GOOGL,138.03,138.13,135.99,136.69,12514300,1710579697.55,0
1700663400000,2023-11-22,GOOGL,137.47,139.42,137.47,138.49,17813900,2467047108.85,0
1700577000000,2023-11-21,GOOGL,136.29,137.18,135.96,136.97,22635300,3100357068.63,0
1700490600000,2023-11-20,GOOGL,133.69,136.66,133.62,136.25,27815500,3789861875.00,0
1700231400000,2023-11-17,GOOGL,136.00,136.06,133.65,135.31,37240600,5039025495.08,0
1700145000000,2023-11-16,GOOGL,135.19,137.22,134.32,136.93,28013200,3835847270.83,0
1700058600000,2023-11-15,GOOGL,134.87,135.03,133.57,134.62,23861500,3212235013.49,0
1699972200000,2023-11-14,GOOGL,134.19,135.70,133.32,133.62,32395200,4328646465.82,0
1699885800000,2023-11-13,GOOGL,131.78,132.59,131.25,132.09,18324800,2420522764.89,0
1699626600000,2023-11-10,GOOGL,130.10,132.80,129.41,132.59,26913300,3568434348.44,0
1699540200000,2023-11-09,GOOGL,131.96,132.55,130.07,130.24,23747800,3092913602.45,0
1699453800000,2023-11-08,GOOGL,130.97,132.21,130.78,131.84,26425800,3483977375.23,0
1699367400000,2023-11-07,GOOGL,130.71,131.91,129.88,130.97,29757300,3897313617.32,0
1699281000000,2023-11-06,GOOGL,129.05,130.34,128.67,130.25,19052700,2481614175.00,0
1699018200000,2023-11-03,GOOGL,128.02,129.53,127.86,129.10,26393100,3407349371.09,0
1698931800000,2023-11-02,GOOGL,128.42,128.98,126.93,127.49,27124600,3458115196.06,0
1698845400000,2023-11-01,GOOGL,124.07,126.49,123.72,126.45,30082400,3803919388.20,0
1698759000000,2023-10-31,GOOGL,125.06,125.37,122.69,124.08,26292300,3262348632.14,0
1698672600000,2023-10-30,GOOGL,123.21,125.40,122.75,124.46,28940100,3601884819.50,0
1698413400000,2023-10-27,GOOGL,122.88,123.31,120.21,122.17,44566500,5444689223.40,0
1698327000000,2023-10-26,GOOGL,123.27,124.33,121.27,122.28,57061100,6977431238.35,0
1698240600000,2023-10-25,GOOGL,128.16,128.31,125.07,125.61,84366200,10597238433.49,0
1698154200000,2023-10-24,GOOGL,137.83,139.36,137.42,138.81,44814300,6220672873.59,0
1698067800000,2023-10-23,GOOGL,135.04,137.66,133.95,136.50,26317900,3592393350.00,0
1697808600000,2023-10-20,GOOGL,137.33,137.87,135.08,135.60,26335700,3571121080.74,0
1697722200000,2023-10-19,GOOGL,138.50,139.66,137.38,137.75,26066000,3590591500.00,0
1697635800000,2023-10-18,GOOGL,139.45,140.72,137.38,137.96,23375000,3224815156.94,0
1697549400000,2023-10-17,GOOGL,138.63,139.90,137.18,139.72,23515800,3285627604.71,0
1697463000000,2023-10-16,GOOGL,138.17,139.63,137.99,139.10,28501900,3964614463.96,0
1697203800000,2023-10-13,GOOGL,139.38,140.00,136.62,137.36,23420500,3217039894.29,0
1697117400000,2023-10-12,GOOGL,141.05,141.22,138.26,138.97,24765500,3441661565.23,0
1697031000000,2023-10-11,GOOGL,138.58,141.11,138.58,140.55,25884300,3638038443.99,0
