https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume NFLX,Volume USDT,tradecount
1719408600000,2024-06-26,NFLX,67.24,68.30,67.00,67.77,35458000,2402953102.45,0
1719322200000,2024-06-25,NFLX,67.34,67.37,66.23,67.24,22706000,1526774085.02,0
1719235800000,2024-06-24,NFLX,68.50,68.55,66.45,66.90,39163000,2620083042.73,0
1718976600000,2024-06-21,NFLX,68.33,68.69,67.81,68.61,45064000,3091931146.00,0
1718890200000,2024-06-20,NFLX,68.18,68.99,67.37,67.90,25851000,1755360449.84,0
1718717400000,2024-06-18,NFLX,67.56,68.71,67.46,68.57,29438000,2018475385.53,0
1718631000000,2024-06-17,NFLX,66.91,68.27,66.51,67.58,36312000,2454073902.65,0
1718371800000,2024-06-14,NFLX,65.50,67.56,65.26,66.94,44471000,2976799955.43,0
1718285400000,2024-06-13,NFLX,64.40,65.53,64.24,65.33,18636000,1217415268.89,0
1718199000000,2024-06-12,NFLX,65.22,65.58,64.31,65.01,20944000,1361485594.97,0
1718112600000,2024-06-11,NFLX,64.07,65.02,64.05,64.86,21674000,1405667342.76,0
1718026200000,2024-06-10,NFLX,64.10,64.48,63.56,64.45,20644000,1330505737.00,0
1717767000000,2024-06-07,NFLX,64.94,65.04,64.02,64.15,18766000,1203782661.56,0
1717680600000,2024-06-06,NFLX,64.49,65.80,64.42,64.85,24667000,1599704219.26,0
1717594200000,2024-06-05,NFLX,63.40,65.12,62.83,65.03,26826000,1744414313.46,0
1717507800000,2024-06-04,NFLX,63.38,63.52,62.64,63.16,30082000,1900039246.36,0
1717421400000,2024-06-03,NFLX,64.52,64.68,62.73,63.38,23235000,1472611102.58,0
1717162200000,2024-05-31,NFLX,64.40,64.86,62.83,64.16,40710000,2612035124.36,0
1717075800000,2024-05-30,NFLX,65.35,65.65,64.47,64.77,23889000,1547194946.30,0
1716989400000,2024-05-29,NFLX,64.41,66.43,64.39,65.46,36959000,2419409983.56,0
1716903000000,2024-05-28,NFLX,64.71,64.97,64.30,64.90,26095000,1693565539.82,0
1716557400000,2024-05-24,NFLX,63.94,65.20,63.76,64.68,26153000,1691445354.81,0
1716471000000,2024-05-23,NFLX,64.23,64.27,63.00,63.57,23139000,1470876844.07,0
1716384600000,2024-05-22,NFLX,64.71,64.93,63.81,64.05,21762000,1393790750.24,0
1716298200000,2024-05-21,NFLX,63.68,65.09,63.42,65.06,29202000,1899911234.66,0
1716211800000,2024-05-20,NFLX,62.04,64.44,61.95,64.08,38579000,2472219506.26,0
1715952600000,2024-05-17,NFLX,61.70,62.58,61.47,62.11,37827000,2349434993.09,0
1715866200000,2024-05-16,NFLX,61.58,61.83,60.91,61.05,30564000,1865993271.10,0
1715779800000,2024-05-15,NFLX,61.86,62.41,60.91,61.35,56706000,3479026579.49,0
1715693400000,2024-05-14,NFLX,61.52,62.15,60.84,61.37,27924000,1713584215.53,0
1715607000000,2024-05-13,NFLX,61.43,61.82,60.68,61.66,20862000,1286330066.28,0
1715347800000,2024-05-10,NFLX,61.90,62.40,60.51,61.09,26536000,1621004679.78,0
1715261400000,2024-05-09,NFLX,61.44,61.57,60.58,61.21,20654000,1264210678.44,0
1715175000000,2024-05-08,NFLX,60.16,61.82,60.16,60.95,30939000,1885639189.57,0
1715088600000,2024-05-07,NFLX,59.63,60.60,59.13,60.60,36141000,2190144544.85,0
1715002200000,2024-05-06,NFLX,58.18,59.73,58.03,59.70,36863000,2200610459.25,0
1714743000000,2024-05-03,NFLX,56.60,58.03,56.52,57.93,33075000,1916166987.42,0
1714656600000,2024-05-02,NFLX,55.60,56.55,55.56,56.51,30682000,1733993211.27,0
1714570200000,2024-05-01,NFLX,54.78,56.04,54.42,55.17,34732000,1916199221.82,0
1714483800000,2024-04-30,NFLX,56.00,56.00,54.94,55.06,33615000,1850976332.30,0
1714397400000,2024-04-29,NFLX,55.92,55.96,55.42,55.95,25089000,1403704493.92,0
1714138200000,2024-04-26,NFLX,55.82,56.29,55.32,56.12,43326000,2431585145.60,0
1714051800000,2024-04-25,NFLX,54.95,56.65,54.57,56.48,38071000,2150250062.57,0
1713965400000,2024-04-24,NFLX,57.43,57.69,55.13,55.51,53553000,2972834191.57,0
1713879000000,2024-04-23,NFLX,55.65,57.92,55.53,57.78,49755000,2874595200.92,0
1713792600000,2024-04-22,NFLX,55.07,55.86,54.20,55.46,85977000,4768284341.29,0
1713533400000,2024-04-19,NFLX,56.79,57.90,55.22,55.50,164497000,9130241754.06,0
1713447000000,2024-04-18,NFLX,61.21,62.13,60.54,61.06,84684000,5170466283.33,0
1713360600000,2024-04-17,NFLX,62.10,62.10,60.77,61.37,33122000,2032664000.82,0
1713274200000,2024-04-16,NFLX,60.75,62.24,60.75,61.75,35191000,2173114593.34,0
1713187800000,2024-04-15,NFLX,63.02,63.02,60.39,60.72,30854000,1873300614.71,0
1712928600000,2024-04-12,NFLX,62.82,63.31,61.89,62.28,29593000,1843140847.00,0
1712842200000,2024-04-11,NFLX,62.44,63.17,61.72,62.88,26627000,1674252462.12,0
1712755800000,2024-04-10,NFLX,61.10,62.01,60.93,61.86,28062000,1735859243.96,0
1712669400000,2024-04-09,NFLX,63.20,63.20,61.56,61.82,21436000,1325173513.46,0
1712583000000,2024-04-08,NFLX,63.64,63.90,62.81,62.84,21457000,1348379328.49,0
1712323800000,2024-04-05,NFLX,62.49,63.79,62.27,63.62,33788000,2149524985.03,0
1712237400000,2024-04-04,NFLX,63.32,63.80,61.66,61.71,30643000,1891102123.51,0
1712151000000,2024-04-03,NFLX,61.28,63.04,61.15,63.01,29312000,1846890479.00,0
1712064600000,2024-04-02,NFLX,61.10,61.50,60.55,61.42,20292000,1246354961.11,0
1711978200000,2024-04-01,NFLX,60.80,61.51,60.56,61.43,21159000,1299818523.83,0
1711632600000,2024-03-28,NFLX,61.50,61.50,60.16,60.73,37088000,2252465567.38,0
1711546200000,2024-03-27,NFLX,62.90,63.13,61.07,61.35,26283000,1612540915.84,0
1711459800000,2024-03-26,NFLX,62.52,63.44,61.92,62.92,28045000,1764703574.01,0
1711373400000,2024-03-25,NFLX,62.79,63.05,62.32,62.75,18033000,1131498588.83,0
1711114200000,2024-03-22,NFLX,62.42,62.90,62.10,62.80,21357000,1341240928.97,0
1711027800000,2024-03-21,NFLX,63.06,63.44,62.23,62.27,25077000,1561569864.70,0
