https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume PYPL,Volume USDT,tradecount
1689687000000,2023-07-18,PYPL,73.48,74.41,73.26,74.37,11903000,885226142.69,0
1689600600000,2023-07-17,PYPL,72.52,73.78,71.96,73.49,13168800,967775083.87,0
1689341400000,2023-07-14,PYPL,72.66,72.98,71.92,72.10,12202200,879778601.38,0
1689255000000,2023-07-13,PYPL,71.37,72.74,71.00,72.39,14536300,1052282748.13,0
1689168600000,2023-07-12,PYPL,71.72,71.87,70.28,70.59,14458500,1020625462.05,0
1689082200000,2023-07-11,PYPL,69.64,70.73,69.41,70.62,14799000,1045105420.65,0
1688995800000,2023-07-10,PYPL,66.80,69.36,66.69,69.28,14872000,1030332141.85,0
1688736600000,2023-07-07,PYPL,66.19,67.66,65.98,66.79,12341800,824308833.30,0
1688650200000,2023-07-06,PYPL,67.71,67.85,65.63,66.14,17447500,1153977639.35,0
1688563800000,2023-07-05,PYPL,68.04,68.90,67.00,68.85,13980600,962564288.67,0
1688391000000,2023-07-03,PYPL,67.12,68.63,66.84,68.10,8617900,586878976.85,0
1688131800000,2023-06-30,PYPL,66.09,66.97,65.75,66.73,16907100,1128210839.76,0
1688045400000,2023-06-29,PYPL,66.30,67.34,65.62,65.86,14894200,980932021.09,0
1687959000000,2023-06-28,PYPL,66.05,66.48,65.62,66.03,15390600,1016241299.21,0
1687872600000,2023-06-27,PYPL,66.87,67.10,65.78,66.23,16371200,1084264630.96,0
1687786200000,2023-06-26,PYPL,66.87,67.58,66.41,66.44,12224400,812189165.84,0
1687527000000,2023-06-23,PYPL,67.42,68.16,65.85,66.94,27683800,1853153639.59,0
1687440600000,2023-06-22,PYPL,67.52,68.64,67.06,68.57,16872500,1156947319.85,0
1687354200000,2023-06-21,PYPL,68.94,69.02,67.22,68.19,23910600,1630463872.38,0
1687267800000,2023-06-20,PYPL,67.13,69.20,66.78,68.89,31379200,2161713068.85,0
1686922200000,2023-06-16,PYPL,65.95,67.15,65.22,66.43,29703700,1973216800.06,0
1686835800000,2023-06-15,PYPL,63.12,66.21,62.63,65.85,21527700,1417599012.15,0
1686749400000,2023-06-14,PYPL,64.14,65.10,63.03,63.60,24028100,1528187123.34,0
1686663000000,2023-06-13,PYPL,63.55,64.24,63.13,63.56,19963400,1268873731.42,0
1686576600000,2023-06-12,PYPL,63.60,64.26,63.12,63.73,15945400,1016200334.70,0
1686317400000,2023-06-09,PYPL,64.00,64.06,62.43,63.49,17151700,1088961461.79,0
1686231000000,2023-06-08,PYPL,64.20,64.69,63.99,64.24,13568500,871640411.01,0
1686144600000,2023-06-07,PYPL,65.25,65.32,63.55,64.04,15511900,993382090.20,0
1686058200000,2023-06-06,PYPL,64.43,65.18,64.23,65.02,13039200,847808740.23,0
1685971800000,2023-06-05,PYPL,64.07,64.98,63.51,64.51,13498300,870775361.84,0
1685712600000,2023-06-02,PYPL,63.74,64.39,63.56,63.96,16438700,1051419236.95,0
1685626200000,2023-06-01,PYPL,62.41,63.61,61.83,63.05,16686200,1052064897.27,0
1685539800000,2023-05-31,PYPL,61.84,63.22,61.17,61.99,27790800,1722751738.65,0
1685453400000,2023-05-30,PYPL,61.04,62.19,59.55,62.05,21356700,1325183218.71,0
1685107800000,2023-05-26,PYPL,59.50,60.61,58.95,60.22,20632500,1242489175.19,0
1685021400000,2023-05-25,PYPL,61.74,61.74,59.31,59.37,24461300,1452267354.87,0
1684935000000,2023-05-24,PYPL,61.65,62.22,61.23,61.80,14790300,914040528.72,0
1684848600000,2023-05-23,PYPL,63.03,63.30,61.84,62.00,16815500,1042561000.00,0
1684762200000,2023-05-22,PYPL,60.95,63.15,60.65,63.03,20220600,1274504393.32,0
1684503000000,2023-05-19,PYPL,61.90,61.95,60.71,60.92,19398000,1181726124.48,0
