https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CRM,Volume USDT,tradecount
1665667800000,2022-10-13,CRM,138.96,146.34,137.59,145.44,6548600,952428399.99,0
1665581400000,2022-10-12,CRM,142.31,143.44,139.58,142.29,5707100,812063220.68,0
1665495000000,2022-10-11,CRM,144.51,144.97,139.52,142.57,7415000,1057156604.31,0
1665408600000,2022-10-10,CRM,150.62,150.96,144.58,145.64,5497800,800699588.64,0
1665149400000,2022-10-07,CRM,151.80,153.17,149.27,150.29,5956700,895232403.01,0
1665063000000,2022-10-06,CRM,155.72,158.25,154.44,155.46,3853900,599127319.87,0
1664976600000,2022-10-05,CRM,152.20,156.96,151.94,156.23,4256200,664946107.82,0
1664890200000,2022-10-04,CRM,151.70,157.42,151.22,155.73,8017900,1248627532.74,0
1664803800000,2022-10-03,CRM,144.98,148.96,143.90,147.90,6819900,1008663168.37,0
1664544600000,2022-09-30,CRM,146.01,148.63,143.75,143.84,7575600,1089674276.26,0
1664458200000,2022-09-29,CRM,148.45,148.98,145.01,146.81,8602500,1262933004.00,0
1664371800000,2022-09-28,CRM,146.00,150.88,145.67,150.17,7908400,1187604413.52,0
1664285400000,2022-09-27,CRM,148.37,150.61,146.26,148.89,7046600,1049168269.70,0
1664199000000,2022-09-26,CRM,147.00,151.19,145.35,146.32,7862400,1150426425.59,0
1663939800000,2022-09-23,CRM,148.07,149.84,144.79,147.01,9175800,1348934307.60,0
1663853400000,2022-09-22,CRM,149.51,152.86,149.15,150.15,12405100,1862625689.29,0
1663767000000,2022-09-21,CRM,151.22,153.30,147.51,147.63,6164400,910050402.10,0
1663680600000,2022-09-20,CRM,151.00,151.58,148.85,149.80,5505700,824753876.80,0
1663594200000,2022-09-19,CRM,150.71,153.54,150.40,152.83,4874800,745015692.93,0
1663335000000,2022-09-16,CRM,151.92,152.21,149.56,151.51,9882300,1497267218.71,0
1663248600000,2022-09-15,CRM,156.80,159.84,154.31,154.78,7012200,1085348307.44,0
1663162200000,2022-09-14,CRM,158.59,161.65,158.01,160.28,6037300,967658436.63,0
1663075800000,2022-09-13,CRM,158.25,161.26,157.81,158.10,5463200,863731953.34,0
1662989400000,2022-09-12,CRM,163.69,165.66,162.74,165.63,6353400,1052313673.02,0
1662730200000,2022-09-09,CRM,158.60,163.29,158.47,162.59,5642300,917381536.34,0
1662643800000,2022-09-08,CRM,152.32,157.03,151.78,156.90,6659200,1044828439.36,0
1662557400000,2022-09-07,CRM,151.29,154.06,150.48,153.28,6211400,952083384.42,0
1662471000000,2022-09-06,CRM,152.88,154.43,150.82,151.72,6373700,967017771.78,0
