https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume V,Volume USDT,tradecount
1641997800000,2022-01-12,V,214.48,217.58,213.81,215.71,6923300,1493425089.48,0
1641911400000,2022-01-11,V,211.42,214.95,208.74,214.38,8803100,1887208620.98,0
1641825000000,2022-01-10,V,213.98,214.20,206.50,211.97,11978600,2539103856.62,0
1641565800000,2022-01-07,V,217.31,220.20,215.64,216.96,10702100,2321927687.85,0
1641479400000,2022-01-06,V,217.80,221.91,217.55,219.75,7877500,1731080625.00,0
1641393000000,2022-01-05,V,222.64,225.27,219.92,220.00,9594600,2110812000.00,0
1641306600000,2022-01-04,V,222.00,226.79,221.81,222.46,10629300,2364594149.36,0
1641220200000,2022-01-03,V,217.52,222.06,217.01,221.43,7694500,1703793078.64,0
1640961000000,2021-12-31,V,216.81,217.98,215.49,216.71,4723300,1023586374.71,0
1640874600000,2021-12-30,V,217.97,219.15,217.15,217.87,3812800,830694717.38,0
1640788200000,2021-12-29,V,217.76,218.94,217.33,218.17,3223100,703183721.10,0
1640701800000,2021-12-28,V,216.01,219.73,215.58,218.05,4279800,933210403.06,0
1640615400000,2021-12-27,V,217.68,218.12,214.88,217.63,4818400,1048628415.53,0
1640269800000,2021-12-23,V,218.44,218.52,216.62,216.62,4798200,1039386060.57,0
1640183400000,2021-12-22,V,213.85,218.94,213.85,217.96,6003400,1308501104.31,0
1640097000000,2021-12-21,V,210.61,216.16,210.36,215.38,6993700,1506303140.15,0
1640010600000,2021-12-20,V,209.09,209.77,206.86,208.74,9434400,1969336707.82,0
1639751400000,2021-12-17,V,212.80,213.21,207.79,211.88,11578400,2453231448.54,0
1639665000000,2021-12-16,V,215.29,216.27,211.61,214.37,8548400,1832520466.26,0
1639578600000,2021-12-15,V,209.40,212.49,207.86,212.31,10892500,2312586648.41,0
1639492200000,2021-12-14,V,210.73,213.37,208.45,209.98,9832300,2064586311.99,0
1639405800000,2021-12-13,V,212.45,213.32,209.98,211.02,8844300,1866324223.79,0
1639146600000,2021-12-10,V,211.90,214.25,210.86,213.40,8882700,1895568125.78,0
1639060200000,2021-12-09,V,208.52,212.20,207.17,211.39,10176800,2151273745.79,0
1638973800000,2021-12-08,V,207.66,209.48,205.71,208.99,11749200,2455465372.54,0
1638887400000,2021-12-07,V,206.00,207.94,205.89,207.37,11897200,2467122305.91,0
1638801000000,2021-12-06,V,198.77,204.22,197.74,202.68,10722100,2173155149.47,0
1638541800000,2021-12-03,V,198.27,198.47,194.04,196.32,10660500,2092869438.08,0
1638455400000,2021-12-02,V,192.00,199.44,191.85,198.29,13976300,2771360433.16,0
1638369000000,2021-12-01,V,196.03,196.81,190.10,190.16,13204900,2511043832.36,0
1638282600000,2021-11-30,V,195.27,197.66,192.56,193.77,16023000,3104776778.46,0
1638196200000,2021-11-29,V,201.00,201.25,195.36,196.29,14633500,2872409616.75,0
1637937000000,2021-11-26,V,193.32,199.19,192.55,197.65,10987600,2171699072.94,0
1637764200000,2021-11-24,V,198.17,203.95,197.64,203.25,12026800,2444447100.00,0
1637677800000,2021-11-23,V,196.97,198.92,194.38,198.49,14742700,2926278603.98,0
1637591400000,2021-11-22,V,200.00,201.70,194.60,195.58,21185800,4143518802.79,0
