https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AAPL,Volume USDT,tradecount
1708612200000,2024-02-22,AAPL,183.48,184.96,182.46,184.37,52292200,9641112658.67,0
1708525800000,2024-02-21,AAPL,181.94,182.89,180.66,182.32,41371400,7542833951.01,0
1708439400000,2024-02-20,AAPL,181.79,182.43,180.00,181.56,53665600,9743526204.98,0
1708093800000,2024-02-16,AAPL,183.42,184.85,181.67,182.31,49752500,9070378153.53,0
1708007400000,2024-02-15,AAPL,183.55,184.49,181.35,183.86,65434500,12030787209.94,0
1707921000000,2024-02-14,AAPL,185.32,185.53,182.44,184.15,54630500,10060206241.56,0
1707834600000,2024-02-13,AAPL,185.77,186.21,183.51,185.04,56529500,10460218300.47,0
1707748200000,2024-02-12,AAPL,188.42,188.67,186.79,187.15,41781900,7819482329.98,0
1707489000000,2024-02-09,AAPL,188.65,189.99,188.00,188.85,45155200,8527559795.61,0
1707402600000,2024-02-08,AAPL,189.39,189.54,187.35,188.32,40962000,7713964140.01,0
1707316200000,2024-02-07,AAPL,190.64,191.05,188.61,189.41,53439000,10121881185.70,0
1707229800000,2024-02-06,AAPL,186.86,189.31,186.77,189.30,43490800,8232808572.72,0
1707143400000,2024-02-05,AAPL,188.15,189.25,185.84,187.68,69668800,13075439873.73,0
1706884200000,2024-02-02,AAPL,179.86,187.33,179.25,185.85,102551700,19059234070.93,0
1706797800000,2024-02-01,AAPL,183.99,186.95,183.82,186.86,64885400,12124485883.60,0
1706711400000,2024-01-31,AAPL,187.04,187.10,184.35,184.40,55467800,10228261981.45,0
1706625000000,2024-01-30,AAPL,190.94,191.80,187.47,188.04,55859400,10503801200.97,0
1706538600000,2024-01-29,AAPL,192.01,192.20,189.58,191.73,47145600,9039225686.57,0
1706279400000,2024-01-26,AAPL,194.27,194.76,191.94,192.42,44594000,8580777398.35,0
1706193000000,2024-01-25,AAPL,195.22,196.27,193.11,194.17,54822100,10644807056.62,0
1706106600000,2024-01-24,AAPL,195.42,196.38,194.34,194.50,53631300,10431287850.00,0
1706020200000,2024-01-23,AAPL,195.02,195.75,193.83,195.18,42355600,8266965697.78,0
1705933800000,2024-01-22,AAPL,192.30,195.33,192.26,193.89,60133900,11659361834.30,0
1705674600000,2024-01-19,AAPL,189.33,191.95,188.82,191.56,68903000,13199058511.78,0
1705588200000,2024-01-18,AAPL,186.09,189.14,185.83,188.63,78005800,14714234434.89,0
1705501800000,2024-01-17,AAPL,181.27,182.93,180.30,182.68,47317400,8643942285.44,0
1705415400000,2024-01-16,AAPL,182.16,184.26,180.93,183.63,65603000,12046679210.33,0
1705069800000,2024-01-12,AAPL,186.06,186.74,185.19,185.92,40477800,7525632501.88,0
1704983400000,2024-01-11,AAPL,186.54,187.05,183.62,185.59,49128400,9117739576.09,0
1704897000000,2024-01-10,AAPL,184.35,186.40,183.92,186.19,46792900,8712370165.24,0
1704810600000,2024-01-09,AAPL,183.92,185.15,182.73,185.14,42841800,7931730825.85,0
1704724200000,2024-01-08,AAPL,182.09,185.60,181.50,185.56,59144500,10974853275.60,0
1704465000000,2024-01-05,AAPL,181.99,182.76,180.17,181.18,62379700,11301953589.12,0
1704378600000,2024-01-04,AAPL,182.15,183.09,180.88,181.91,71983600,13094536939.61,0
1704292200000,2024-01-03,AAPL,184.22,185.88,183.43,184.25,58414500,10762871625.00,0
1704205800000,2024-01-02,AAPL,187.15,188.44,183.89,185.64,82488700,15313202217.65,0
1703860200000,2023-12-29,AAPL,193.90,194.40,191.73,192.53,42672100,8215659360.91,0
1703773800000,2023-12-28,AAPL,194.14,194.66,193.17,193.58,34049900,6591379704.35,0
1703687400000,2023-12-27,AAPL,192.49,193.50,191.09,193.15,48087700,9288138961.50,0
1703601000000,2023-12-26,AAPL,193.61,193.89,192.83,193.05,28919300,5582870953.25,0
1703255400000,2023-12-22,AAPL,195.18,195.41,192.97,193.60,37149600,7192162786.74,0
1703169000000,2023-12-21,AAPL,196.10,197.08,193.50,194.68,46482500,9049212759.55,0
1703082600000,2023-12-20,AAPL,196.90,197.68,194.83,194.83,52242800,10178464819.66,0
1702996200000,2023-12-19,AAPL,196.16,196.95,195.89,196.94,40714100,8018234953.40,0
1702909800000,2023-12-18,AAPL,196.09,196.63,194.39,195.89,55751900,10921239656.97,0
1702650600000,2023-12-15,AAPL,197.53,198.40,197.00,197.57,128538400,25395332629.44,0
1702564200000,2023-12-14,AAPL,198.02,199.62,196.16,198.11,66831600,13240008316.79,0
1702477800000,2023-12-13,AAPL,195.09,198.00,194.85,197.96,70404200,13937215904.68,0
1702391400000,2023-12-12,AAPL,193.08,194.72,191.72,194.71,52696900,10260613752.80,0
1702305000000,2023-12-11,AAPL,193.11,193.49,191.42,193.18,60943700,11773103519.64,0
1702045800000,2023-12-08,AAPL,194.20,195.99,193.67,195.71,53406400,10452166902.56,0
1701959400000,2023-12-07,AAPL,193.63,195.00,193.59,194.27,47477700,9223492981.85,0
1701873000000,2023-12-06,AAPL,194.45,194.76,192.11,192.32,41089700,7902371404.95,0
1701786600000,2023-12-05,AAPL,190.21,194.40,190.18,193.42,66628400,12887265006.00,0
1701700200000,2023-12-04,AAPL,189.98,190.05,187.45,189.43,43389500,8219272667.21,0
1701441000000,2023-12-01,AAPL,190.33,191.56,189.23,191.24,45704800,8740586203.06,0
1701354600000,2023-11-30,AAPL,189.84,190.32,188.19,189.95,48794400,9268496131.09,0
1701268200000,2023-11-29,AAPL,190.90,192.09,188.97,189.37,43014200,8145598843.97,0
1701181800000,2023-11-28,AAPL,189.78,191.08,189.40,190.40,38415400,7314291925.53,0
1701095400000,2023-11-27,AAPL,189.92,190.67,188.90,189.79,40552600,7696477681.74,0
