https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume COIN,Volume USDT,tradecount
1723728600000,2024-08-15,COIN,198.52,205.07,196.20,197.12,6068300,1196183266.37,0
1723642200000,2024-08-14,COIN,200.90,201.97,192.40,195.96,5027000,985090953.75,0
1723555800000,2024-08-13,COIN,193.13,201.10,191.87,197.94,4795500,949221281.71,0
1723469400000,2024-08-12,COIN,194.30,197.69,188.29,191.74,5742800,1101124503.55,0
1723210200000,2024-08-09,COIN,191.29,199.10,189.78,196.29,5255900,1031680575.71,0
1723123800000,2024-08-08,COIN,185.67,194.98,182.46,192.32,7421600,1427322166.36,0
1723037400000,2024-08-07,COIN,196.80,199.95,177.39,178.91,8324400,1489318434.48,0
1722951000000,2024-08-06,COIN,191.99,197.40,182.70,194.17,7050600,1369014989.09,0
1722864600000,2024-08-05,COIN,162.01,197.88,161.13,189.47,18734600,3549644684.87,0
1722605400000,2024-08-02,COIN,213.12,219.30,199.38,204.44,10063900,2057463740.57,0
1722519000000,2024-08-01,COIN,226.60,227.10,207.82,212.64,8920000,1896748794.56,0
1722432600000,2024-07-31,COIN,233.00,234.11,224.04,224.36,4771700,1070578614.91,0
1722346200000,2024-07-30,COIN,235.62,239.00,223.03,224.46,6053900,1358858434.65,0
1722259800000,2024-07-29,COIN,251.55,255.42,234.00,234.20,9467700,2217335311.11,0
1722000600000,2024-07-26,COIN,243.34,249.16,237.56,242.93,7917400,1923373924.01,0
1721914200000,2024-07-25,COIN,239.26,241.64,226.30,231.52,8482500,1963868436.24,0
1721827800000,2024-07-24,COIN,261.00,265.00,243.75,245.06,8141100,1995057946.12,0
1721741400000,2024-07-23,COIN,263.60,272.55,257.29,257.63,9275600,2389672873.29,0
1721655000000,2024-07-22,COIN,260.47,266.00,252.84,265.15,11282200,2991475261.14,0
1721395800000,2024-07-19,COIN,235.10,259.80,233.50,257.79,12501900,3222864907.83,0
1721309400000,2024-07-18,COIN,251.21,253.87,230.57,233.24,8848500,2063824188.61,0
1721223000000,2024-07-17,COIN,245.90,255.90,241.31,249.10,8883300,2212830084.22,0
1721136600000,2024-07-16,COIN,243.19,252.12,234.20,251.49,10270700,2582978399.42,0
1721050200000,2024-07-15,COIN,229.38,247.50,228.00,242.85,14439500,3506632663.13,0
1720791000000,2024-07-12,COIN,215.34,222.15,214.57,218.02,4949000,1078981001.14,0
1720704600000,2024-07-11,COIN,224.37,227.15,213.57,214.63,7037900,1510544511.36,0
1720618200000,2024-07-10,COIN,221.64,223.33,215.14,219.56,4481900,984045953.06,0
1720531800000,2024-07-09,COIN,223.55,225.64,218.68,219.97,5344900,1175717659.52,0
1720445400000,2024-07-08,COIN,226.51,226.51,217.75,220.56,5615200,1238488498.29,0
1720186200000,2024-07-05,COIN,213.48,225.13,209.45,223.68,10148500,2270016405.67,0
1720013400000,2024-07-03,COIN,223.81,227.11,222.22,224.94,3241700,729188005.91,0
1719927000000,2024-07-02,COIN,231.34,234.97,226.32,227.51,4407000,1002636545.79,0
1719840600000,2024-07-01,COIN,226.00,236.04,224.04,233.37,7739800,1806237088.21,0
1719581400000,2024-06-28,COIN,223.95,225.53,218.80,222.23,10944900,2432285080.24,0
1719495000000,2024-06-27,COIN,217.60,225.76,216.32,224.00,5641200,1263628800.00,0
1719408600000,2024-06-26,COIN,220.00,223.73,212.46,214.58,6574900,1410842054.04,0
1719322200000,2024-06-25,COIN,217.00,222.88,213.22,221.71,8014400,1776872677.81,0
1719235800000,2024-06-24,COIN,217.22,221.44,207.71,212.31,10762000,2284880193.73,0
1718976600000,2024-06-21,COIN,227.00,228.25,220.71,225.86,11335400,2560213450.92,0
1718890200000,2024-06-20,COIN,237.36,240.49,228.44,235.03,6888900,1619098158.59,0
1718717400000,2024-06-18,COIN,238.25,242.80,234.60,235.95,6198900,1462630436.08,0
1718631000000,2024-06-17,COIN,239.87,248.64,234.23,245.10,6662900,1633076830.67,0
1718371800000,2024-06-14,COIN,246.16,250.25,237.06,244.50,7146500,1747319250.00,0
1718285400000,2024-06-13,COIN,253.77,257.13,243.26,247.64,8666200,2146097762.71,0
1718199000000,2024-06-12,COIN,251.80,263.26,250.58,254.96,11134700,2838903186.76,0
1718112600000,2024-06-11,COIN,242.93,245.66,234.09,244.20,8991300,2195675432.56,0
1718026200000,2024-06-10,COIN,241.11,253.43,239.53,249.81,6335900,1582771163.53,0
1717767000000,2024-06-07,COIN,256.19,263.18,243.86,244.16,9315300,2274423682.11,0
1717680600000,2024-06-06,COIN,250.00,263.80,248.75,257.08,9494600,2440871640.51,0
1717594200000,2024-06-05,COIN,246.86,251.89,240.70,251.40,9383500,2359011842.73,0
1717507800000,2024-06-04,COIN,230.23,247.20,230.16,244.20,10854300,2650620026.88,0
1717421400000,2024-06-03,COIN,232.50,239.20,224.69,231.39,7333100,1696806004.52,0
1717162200000,2024-05-31,COIN,239.28,240.41,219.17,225.92,10123100,2287010733.46,0
1717075800000,2024-05-30,COIN,241.10,248.86,233.38,234.76,9318800,2187681436.81,0
1716989400000,2024-05-29,COIN,239.02,240.49,233.18,236.65,6802000,1609693258.48,0
1716903000000,2024-05-28,COIN,235.45,247.13,231.05,245.00,10843100,2656559500.00,0
1716557400000,2024-05-24,COIN,221.00,237.79,220.05,237.65,10249200,2435722317.44,0
1716471000000,2024-05-23,COIN,233.81,234.32,217.66,218.86,9428300,2063477743.75,0
1716384600000,2024-05-22,COIN,225.01,238.77,221.21,231.51,8933700,2068240837.93,0
1716298200000,2024-05-21,COIN,231.97,233.65,220.12,225.78,10704500,2416861996.93,0
1716211800000,2024-05-20,COIN,207.96,226.26,203.72,225.19,11223300,2527374954.40,0
1715952600000,2024-05-17,COIN,205.66,210.67,199.83,207.60,8688600,1803753413.03,0
1715866200000,2024-05-16,COIN,215.00,216.45,198.64,199.17,12185500,2426986012.69,0
1715779800000,2024-05-15,COIN,212.21,221.40,207.70,219.91,9339300,2053805497.20,0
1715693400000,2024-05-14,COIN,195.96,206.97,194.93,203.05,5356000,1087535816.35,0
1715607000000,2024-05-13,COIN,204.00,206.67,197.64,199.51,7542200,1504744280.57,0
1715347800000,2024-05-10,COIN,214.50,214.87,200.50,200.92,7423500,1491529606.41,0
1715261400000,2024-05-09,COIN,210.22,213.85,205.11,210.45,4649700,978529350.81,0
1715175000000,2024-05-08,COIN,209.50,214.90,206.53,211.20,4615400,974772465.91,0
1715088600000,2024-05-07,COIN,226.94,230.82,214.12,214.34,8169600,1751072034.08,0
1715002200000,2024-05-06,COIN,225.84,235.80,224.90,226.93,9690600,2199087787.02,0
1714743000000,2024-05-03,COIN,230.90,232.25,216.55,223.25,13739100,3067254075.00,0
1714656600000,2024-05-02,COIN,216.48,232.71,210.76,228.85,12454200,2850143746.01,0
1714570200000,2024-05-01,COIN,199.00,218.52,198.20,210.09,10191500,2141132197.68,0
1714483800000,2024-04-30,COIN,214.35,216.57,202.59,203.93,9127900,1861452580.15,0
1714397400000,2024-04-29,COIN,229.94,230.32,216.54,218.16,9576100,2089122011.07,0
1714138200000,2024-04-26,COIN,220.77,237.02,218.66,236.32,6044900,1428530812.27,0
1714051800000,2024-04-25,COIN,216.05,225.94,213.64,223.61,5143500,1150138038.14,0
1713965400000,2024-04-24,COIN,236.83,239.00,223.87,224.37,6737400,1511670405.10,0
1713879000000,2024-04-23,COIN,223.62,238.67,223.61,236.43,7338400,1735017858.25,0
1713792600000,2024-04-22,COIN,216.79,227.14,215.03,225.86,8207000,1853633025.01,0
1713533400000,2024-04-19,COIN,223.83,227.76,210.18,211.01,9364000,1975897588.56,0
1713447000000,2024-04-18,COIN,215.57,228.05,213.25,218.08,9403900,2050802529.22,0
1713360600000,2024-04-17,COIN,222.04,224.87,205.90,213.78,9440200,2018125944.48,0
1713274200000,2024-04-16,COIN,223.00,223.00,205.67,218.83,16472100,3604589673.16,0
1713187800000,2024-04-15,COIN,247.94,249.74,222.14,223.41,11239800,2511083759.16,0
1712928600000,2024-04-12,COIN,259.42,259.97,244.31,245.75,9051600,2224430700.00,0
1712842200000,2024-04-11,COIN,250.99,264.30,247.31,263.01,8655100,2276377935.52,0
1712755800000,2024-04-10,COIN,238.24,251.27,234.12,250.99,8416000,2112331886.23,0
1712669400000,2024-04-09,COIN,253.23,254.55,241.10,242.95,7792700,1893236441.22,0
1712583000000,2024-04-08,COIN,252.86,261.63,249.68,256.99,10042200,2580744879.93,0
1712323800000,2024-04-05,COIN,244.91,253.96,240.20,240.90,8438600,2032858688.49,0
1712237400000,2024-04-04,COIN,260.15,261.50,249.46,249.61,8098300,2021416667.94,0
1712151000000,2024-04-03,COIN,244.04,256.00,243.00,251.58,6670200,1678088928.21,0
1712064600000,2024-04-02,COIN,238.10,248.13,235.99,245.84,8817600,2167718751.71,0
1711978200000,2024-04-01,COIN,261.87,268.81,249.22,252.11,10010700,2523797583.11,0
1711632600000,2024-03-28,COIN,260.21,270.79,257.91,265.12,11201600,2969768137.30,0
1711546200000,2024-03-27,COIN,276.22,276.61,253.95,256.70,11092600,2847470555.41,0
1711459800000,2024-03-26,COIN,280.12,280.83,266.69,266.81,10316200,2752465296.81,0
1711373400000,2024-03-25,COIN,261.00,283.48,260.25,279.71,13941700,3899632787.87,0
1711114200000,2024-03-22,COIN,254.24,260.72,249.55,255.51,9828200,2511203328.01,0
1711027800000,2024-03-21,COIN,260.24,276.38,256.27,262.00,16199900,4244373800.00,0
1710941400000,2024-03-20,COIN,231.38,256.96,228.80,256.88,13834300,3553755051.55,0
1710855000000,2024-03-19,COIN,223.24,233.29,216.16,230.12,12928500,2975106356.87,0
1710768600000,2024-03-18,COIN,238.61,244.05,230.21,239.62,9734500,2332580842.47,0
1710509400000,2024-03-15,COIN,225.06,244.65,222.83,242.36,17256300,4182236878.53,0
1710423000000,2024-03-14,COIN,245.00,248.27,227.24,233.67,18789300,4390495696.60,0
1710336600000,2024-03-13,COIN,253.36,269.39,250.53,251.73,17329800,4362430479.96,0
1710250200000,2024-03-12,COIN,257.83,260.79,242.09,256.14,14666200,3756600682.84,0
1710163800000,2024-03-11,COIN,270.08,271.65,253.96,254.17,20296400,5158735950.84,0
