https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume TSLA,Volume USDT,tradecount
1743168600000,2025-03-28,TSLA,275.58,276.10,260.57,263.55,123809400,32629965858.65,0
1743082200000,2025-03-27,TSLA,272.48,291.85,271.82,273.13,162572100,44403318466.81,0
1742995800000,2025-03-26,TSLA,282.66,284.90,266.51,272.06,153629800,41796523012.93,0
1742909400000,2025-03-25,TSLA,283.60,288.20,271.28,288.14,150361500,43325164812.56,0
1742823000000,2025-03-24,TSLA,258.08,278.64,256.33,278.39,169079900,47070155837.76,0
1742563800000,2025-03-21,TSLA,234.99,249.52,234.55,248.71,132728700,33010955868.12,0
1742477400000,2025-03-20,TSLA,233.35,238.00,230.05,236.26,99028300,23396425614.02,0
1742391000000,2025-03-19,TSLA,231.61,241.41,229.20,235.86,111993800,26414857736.36,0
1742304600000,2025-03-18,TSLA,228.16,230.10,222.28,225.31,111477600,25117017783.84,0
1742218200000,2025-03-17,TSLA,245.06,245.40,232.80,238.01,111900600,26633461191.31,0
1741959000000,2025-03-14,TSLA,247.31,251.58,240.73,249.98,100242300,25058569725.72,0
1741872600000,2025-03-13,TSLA,248.13,248.29,232.60,240.68,114813500,27633312339.08,0
1741786200000,2025-03-12,TSLA,247.22,251.84,241.10,248.09,142215700,35282292492.19,0
1741699800000,2025-03-11,TSLA,225.31,237.06,217.02,230.58,174896400,40327612232.24,0
1741613400000,2025-03-10,TSLA,252.54,253.37,220.00,222.15,189076900,42003432180.97,0
1741357800000,2025-03-07,TSLA,259.32,266.25,250.73,262.67,102369600,26889424206.59,0
1741271400000,2025-03-06,TSLA,272.06,272.65,260.02,263.45,98451600,25937075221.80,0
1741185000000,2025-03-05,TSLA,272.92,279.55,267.71,279.10,94042900,26247373963.99,0
1741098600000,2025-03-04,TSLA,270.93,284.35,261.84,272.04,126706600,34469264546.70,0
1741012200000,2025-03-03,TSLA,300.34,303.94,277.30,284.65,115551400,32891705304.73,0
1740753000000,2025-02-28,TSLA,279.50,293.88,273.60,292.98,115697000,33896908331.09,0
1740666600000,2025-02-27,TSLA,291.16,297.23,280.88,281.95,101748200,28687906232.04,0
1740580200000,2025-02-26,TSLA,303.71,309.00,288.04,290.80,100118300,29114400417.85,0
1740493800000,2025-02-25,TSLA,327.02,328.89,297.25,302.80,134228800,40644479001.46,0
1740407400000,2025-02-24,TSLA,338.14,342.40,324.70,330.53,76052300,25137566626.16,0
1740148200000,2025-02-21,TSLA,353.44,354.98,334.42,337.80,74058600,25016994175.96,0
1740061800000,2025-02-20,TSLA,361.51,362.30,348.00,354.40,45965400,16290137479.45,0
1739975400000,2025-02-19,TSLA,354.00,367.34,353.67,360.56,67094400,24191556700.20,0
1739889000000,2025-02-18,TSLA,355.01,359.10,350.02,354.11,51631700,18283300530.68,0
1739543400000,2025-02-14,TSLA,360.62,362.00,347.50,355.84,68277300,24295794181.96,0
1739457000000,2025-02-13,TSLA,345.00,358.69,342.85,355.94,89441500,31835807728.36,0
1739370600000,2025-02-12,TSLA,329.94,346.40,329.12,336.51,105382700,35462333406.13,0
1739284200000,2025-02-11,TSLA,345.80,349.37,325.10,328.50,118543400,38941506900.00,0
1739197800000,2025-02-10,TSLA,356.21,362.70,350.51,350.73,77514900,27186801728.60,0
1738938600000,2025-02-07,TSLA,370.19,380.55,360.34,361.62,70298300,25421270902.75,0
1738852200000,2025-02-06,TSLA,373.03,375.40,363.18,374.32,77918200,29166341194.69,0
1738765800000,2025-02-05,TSLA,387.51,388.39,375.53,378.17,57223300,21640136129.38,0
1738679400000,2025-02-04,TSLA,382.63,394.00,381.40,392.21,57072200,22384287074.32,0
1738593000000,2025-02-03,TSLA,386.68,389.17,374.36,383.68,93732100,35963131441.49,0
1738333800000,2025-01-31,TSLA,401.53,419.99,401.34,404.60,83283600,33696545068.32,0
1738247400000,2025-01-30,TSLA,410.78,412.50,384.41,400.28,98092900,39264625892.26,0
