https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MSFT,Volume USDT,tradecount
1749475800000,2025-06-09,MSFT,469.70,473.43,468.62,472.75,16469900,7786145225.00,0
1749216600000,2025-06-06,MSFT,470.09,473.34,468.78,470.38,15285600,7190040602.64,0
1749130200000,2025-06-05,MSFT,464.96,469.65,464.03,467.68,20131700,9415193308.55,0
1749043800000,2025-06-04,MSFT,464.00,465.69,463.02,463.87,14162700,6569651579.85,0
1748957400000,2025-06-03,MSFT,461.47,464.14,460.86,462.97,15743800,7288907105.22,0
1748871000000,2025-06-02,MSFT,457.14,462.11,456.89,461.97,16626500,7680944225.30,0
1748611800000,2025-05-30,MSFT,459.72,461.68,455.54,460.36,34770500,16006946870.67,0
1748525400000,2025-05-29,MSFT,461.55,461.72,455.31,458.68,13974800,6409961161.65,0
1748439000000,2025-05-28,MSFT,461.22,462.52,456.93,457.36,17086300,7814589917.71,0
1748352600000,2025-05-27,MSFT,456.48,460.95,456.12,460.69,20974300,9662650318.21,0
1748007000000,2025-05-23,MSFT,449.98,453.69,448.91,450.18,16883500,7600613906.34,0
1747920600000,2025-05-22,MSFT,454.95,460.25,453.90,454.86,18025600,8199124151.95,0
1747834200000,2025-05-21,MSFT,454.57,457.78,451.81,452.57,19216900,8696992573.75,0
1747747800000,2025-05-20,MSFT,455.59,458.34,454.32,458.17,15441800,7074969713.35,0
1747661400000,2025-05-19,MSFT,450.88,459.59,450.80,458.87,21336500,9790679650.82,0
1747402200000,2025-05-16,MSFT,452.05,454.36,448.73,454.27,23849800,10834248383.98,0
1747315800000,2025-05-15,MSFT,450.77,456.19,450.43,453.13,21992300,9965371006.38,0
1747229400000,2025-05-14,MSFT,448.14,453.90,448.14,452.94,19902800,9014774280.59,0
1747143000000,2025-05-13,MSFT,447.78,450.67,445.36,449.14,23618800,10608148177.98,0
1747056600000,2025-05-12,MSFT,445.94,449.37,439.78,449.26,22821900,10252967016.87,0
1746797400000,2025-05-09,MSFT,440.00,440.74,435.88,438.73,15324200,6723186434.36,0
1746711000000,2025-05-08,MSFT,437.93,443.67,435.66,438.17,23491300,10293183236.43,0
1746624600000,2025-05-07,MSFT,433.84,438.12,431.11,433.35,23295300,10095018397.18,0
1746538200000,2025-05-06,MSFT,432.20,437.73,431.17,433.31,15104200,6544800865.12,0
1746451800000,2025-05-05,MSFT,432.87,439.50,432.11,436.17,20136100,8782763007.38,0
1746192600000,2025-05-02,MSFT,431.74,439.44,429.99,435.28,30757400,13388081034.45,0
1746106200000,2025-05-01,MSFT,431.11,436.99,424.90,425.40,58938100,25072267380.27,0
1746019800000,2025-04-30,MSFT,390.30,396.66,384.44,395.26,36461100,14411614742.07,0
1745933400000,2025-04-29,MSFT,391.30,395.10,390.38,394.04,14974000,5900355087.95,0
1745847000000,2025-04-28,MSFT,391.96,392.74,386.64,391.16,16579400,6485198164.72,0
1745587800000,2025-04-25,MSFT,387.00,392.16,384.60,391.85,18973200,7434648535.80,0
1745501400000,2025-04-24,MSFT,375.70,388.45,375.19,387.30,22232300,8610569518.61,0
1745415000000,2025-04-23,MSFT,376.06,380.39,373.02,374.39,20545500,7692030045.96,0
1745328600000,2025-04-22,MSFT,363.38,367.77,359.86,366.82,19485000,7147487842.71,0
1745242200000,2025-04-21,MSFT,362.82,364.48,355.67,359.12,20807300,7472317474.40,0
1744896600000,2025-04-17,MSFT,373.75,374.32,366.89,367.78,21120200,7767587130.22,0
1744810200000,2025-04-16,MSFT,380.67,381.61,368.00,371.61,21967800,8163453836.21,0
1744723800000,2025-04-15,MSFT,388.51,391.89,384.16,385.73,17199900,6634517615.96,0
1744637400000,2025-04-14,MSFT,393.22,394.65,384.21,387.81,19251200,7465807825.00,0
1744378200000,2025-04-11,MSFT,380.64,390.05,378.89,388.45,23839200,9260337531.01,0
1744291800000,2025-04-10,MSFT,382.06,383.90,367.80,381.35,38024400,14500605172.08,0
1744205400000,2025-04-09,MSFT,353.54,393.23,353.10,390.49,50199700,19602480362.77,0
1744119000000,2025-04-08,MSFT,368.26,373.65,350.25,354.56,35868900,12717677096.43,0
1744032600000,2025-04-07,MSFT,350.88,371.00,344.79,357.86,50425000,18045089761.35,0
1743773400000,2025-04-04,MSFT,364.13,374.59,359.48,359.84,49209900,17707690235.79,0
1743687000000,2025-04-03,MSFT,374.79,377.48,369.35,373.11,30198000,11267175337.65,0
1743600600000,2025-04-02,MSFT,377.97,385.08,376.62,382.14,16092600,6149626399.73,0
1743514200000,2025-04-01,MSFT,374.65,382.85,373.23,382.19,19689500,7525130053.07,0
1743427800000,2025-03-31,MSFT,372.54,377.07,367.24,375.39,35184700,13207985048.40,0
1743168600000,2025-03-28,MSFT,388.08,389.13,376.93,378.80,21632000,8194201335.94,0
1743082200000,2025-03-27,MSFT,390.13,392.24,387.40,390.58,13766800,5377036559.14,0
1742995800000,2025-03-26,MSFT,395.00,395.31,388.57,389.97,16108400,6281792767.66,0
1742909400000,2025-03-25,MSFT,393.92,396.36,392.64,395.16,15775000,6233649057.77,0
1742823000000,2025-03-24,MSFT,395.40,395.40,389.81,393.08,21004500,8256448577.96,0
1742563800000,2025-03-21,MSFT,383.22,391.74,382.80,391.26,39675900,15523593021.46,0
1742477400000,2025-03-20,MSFT,385.74,391.79,383.28,386.84,18470500,7145128152.36,0
1742391000000,2025-03-19,MSFT,385.53,389.68,384.00,387.82,19185500,7440520750.52,0
1742304600000,2025-03-18,MSFT,387.07,387.37,381.10,383.52,19486900,7473615673.91,0
1742218200000,2025-03-17,MSFT,386.70,392.71,385.57,388.70,22474300,8735760684.34,0
1741959000000,2025-03-14,MSFT,379.78,390.23,379.51,388.56,19952800,7752859919.29,0
1741872600000,2025-03-13,MSFT,383.16,385.32,377.45,378.77,20473000,7754557985.08,0
1741786200000,2025-03-12,MSFT,382.95,385.22,378.95,383.27,24253600,9295677005.54,0
1741699800000,2025-03-11,MSFT,379.00,386.00,376.91,380.45,30380200,11558147460.85,0
1741613400000,2025-03-10,MSFT,385.84,386.40,377.22,380.16,32840100,12484492536.26,0
1741357800000,2025-03-07,MSFT,392.32,394.80,385.54,393.31,22034100,8666231817.21,0
1741271400000,2025-03-06,MSFT,394.28,402.15,392.68,396.89,23304600,9249363035.38,0
1741185000000,2025-03-05,MSFT,389.34,401.67,388.81,401.02,23433100,9397141504.56,0
1741098600000,2025-03-04,MSFT,383.40,392.58,381.00,388.61,29342900,11402943939.17,0
1741012200000,2025-03-03,MSFT,398.82,398.82,386.16,388.49,23007700,8938261148.32,0
1740753000000,2025-02-28,MSFT,392.66,397.63,386.57,396.99,32845700,13039414122.24,0
1740666600000,2025-02-27,MSFT,401.27,405.74,392.17,392.53,21127400,8293138296.21,0
1740580200000,2025-02-26,MSFT,398.01,403.60,394.25,399.73,19619000,7842303085.54,0
1740493800000,2025-02-25,MSFT,401.10,401.92,396.70,397.90,29387400,11693246280.63,0
1740407400000,2025-02-24,MSFT,408.51,409.37,399.32,404.00,26443700,10683254800.00,0
1740148200000,2025-02-21,MSFT,417.34,418.05,407.89,408.21,27524800,11235898372.80,0
1740061800000,2025-02-20,MSFT,415.29,419.31,412.54,416.13,23508700,9782675445.79,0
1739975400000,2025-02-19,MSFT,407.88,415.49,407.65,414.77,24114200,10001846469.07,0
1739889000000,2025-02-18,MSFT,408.00,410.60,406.50,409.64,21423100,8775758997.81,0
1739543400000,2025-02-14,MSFT,407.79,408.91,405.88,408.43,22758500,9295253988.31,0
1739457000000,2025-02-13,MSFT,407.00,411.00,406.36,410.54,23891700,9808498722.15,0
1739370600000,2025-02-12,MSFT,407.21,410.75,404.37,409.04,19121700,7821540331.39,0
1739284200000,2025-02-11,MSFT,409.64,412.49,409.30,411.44,18140600,7463768508.29,0
1739197800000,2025-02-10,MSFT,413.71,415.46,410.92,412.22,20817900,8581554763.41,0
1738938600000,2025-02-07,MSFT,416.48,418.65,408.10,409.75,22886800,9377866300.00,0
1738852200000,2025-02-06,MSFT,414.00,418.20,414.00,415.82,16309800,6781941155.46,0
1738765800000,2025-02-05,MSFT,412.35,413.83,410.40,413.29,16316700,6743529082.42,0
1738679400000,2025-02-04,MSFT,412.69,413.92,409.74,412.37,20532100,8466821976.75,0
1738593000000,2025-02-03,MSFT,411.60,415.41,408.66,410.92,25679100,10552056116.81,0
1738333800000,2025-01-31,MSFT,418.98,420.69,414.91,415.06,34161900,14179238130.60,0
1738247400000,2025-01-30,MSFT,418.77,422.86,413.16,414.99,54586300,22652768103.93,0
1738161000000,2025-01-29,MSFT,446.69,446.88,440.40,442.33,23581400,10430760345.36,0
1738074600000,2025-01-28,MSFT,434.60,448.38,431.38,447.20,23491700,10505488526.76,0
1737988200000,2025-01-27,MSFT,424.01,435.20,423.50,434.56,35647800,15491107880.97,0
1737729000000,2025-01-24,MSFT,445.16,446.65,441.40,444.06,15549500,6904910932.04,0
1737642600000,2025-01-23,MSFT,442.00,446.75,441.50,446.71,18389300,8214684045.86,0
1737556200000,2025-01-22,MSFT,437.56,447.27,436.00,446.20,27803800,12406055899.40,0
1737469800000,2025-01-21,MSFT,430.20,430.90,425.60,428.50,26085700,11177722450.00,0
1737124200000,2025-01-17,MSFT,434.09,434.48,428.17,429.03,26197500,11239513393.02,0
1737037800000,2025-01-16,MSFT,428.70,429.49,424.39,424.58,15300000,6496073794.56,0
1736951400000,2025-01-15,MSFT,419.13,428.15,418.27,426.31,19637800,8371790470.06,0
1736865000000,2025-01-14,MSFT,417.81,419.74,410.72,415.67,16935900,7039745780.41,0
1736778600000,2025-01-13,MSFT,415.24,418.50,412.29,417.19,17604800,7344546554.98,0
1736519400000,2025-01-10,MSFT,424.63,424.71,415.02,418.95,20201100,8463251091.60,0
1736346600000,2025-01-08,MSFT,423.46,426.97,421.54,424.56,15054600,6391580939.25,0
1736260200000,2025-01-07,MSFT,429.00,430.65,420.80,422.37,18139100,7661411578.43,0
1736173800000,2025-01-06,MSFT,428.00,434.32,425.48,427.85,20573600,8802414885.57,0
1735914600000,2025-01-03,MSFT,421.08,424.03,419.54,423.35,16662900,7054238816.70,0
1735828200000,2025-01-02,MSFT,425.53,426.07,414.85,418.58,16896500,7072536743.12,0
1735655400000,2024-12-31,MSFT,426.10,426.73,420.66,421.50,13246500,5583399750.00,0
1735569000000,2024-12-30,MSFT,426.06,427.55,421.90,424.83,13158700,5590210344.31,0
1735309800000,2024-12-27,MSFT,434.60,435.22,426.35,430.53,18117700,7800213358.88,0
1735223400000,2024-12-26,MSFT,439.08,440.94,436.63,438.11,8194200,3589960841.97,0
1735050600000,2024-12-24,MSFT,434.65,439.60,434.19,439.33,7164500,3147579688.80,0
1734964200000,2024-12-23,MSFT,436.74,437.65,432.83,435.25,19152500,8336125625.00,0
1734705000000,2024-12-20,MSFT,433.11,443.74,428.63,436.60,64263700,28057531812.23,0
1734618600000,2024-12-19,MSFT,441.62,443.18,436.32,437.03,22963700,10035825782.97,0
1734532200000,2024-12-18,MSFT,451.32,452.65,437.02,437.39,24444500,10691780213.07,0
1734445800000,2024-12-17,MSFT,451.01,455.29,449.57,454.46,22733500,10331466215.74,0
1734359400000,2024-12-16,MSFT,447.27,452.18,445.28,451.59,23598800,10656982005.58,0
1734100200000,2024-12-13,MSFT,448.44,451.43,445.58,447.27,20177800,9024924384.32,0
1734013800000,2024-12-12,MSFT,449.11,456.16,449.11,449.56,20834800,9366492637.13,0
1733927400000,2024-12-11,MSFT,444.05,450.35,444.05,448.99,19200200,8620697610.50,0
1733841000000,2024-12-10,MSFT,444.39,449.62,441.60,443.33,18469500,8188083187.00,0
1733754600000,2024-12-09,MSFT,442.60,448.33,440.50,446.02,19144400,8538785077.67,0
1733495400000,2024-12-06,MSFT,442.30,446.10,441.77,443.57,18821000,8348431107.85,0
1733409000000,2024-12-05,MSFT,437.92,444.66,436.17,442.62,21697800,9603880130.05,0
1733322600000,2024-12-04,MSFT,433.03,439.67,432.63,437.42,26009400,11377032097.25,0
1733236200000,2024-12-03,MSFT,429.84,432.47,427.74,431.20,18302000,7891822623.41,0
1733149800000,2024-12-02,MSFT,421.57,433.00,421.31,430.98,20207200,8708899278.00,0
1732890600000,2024-11-29,MSFT,420.09,424.88,417.80,423.46,16271900,6890498634.96,0
1732717800000,2024-11-27,MSFT,425.11,427.23,422.02,422.99,18332400,7754421696.97,0
1732631400000,2024-11-26,MSFT,419.59,429.04,418.85,427.99,23458900,10040174381.91,0
1732545000000,2024-11-25,MSFT,418.38,421.08,414.85,418.79,27691100,11596756005.62,0
1732285800000,2024-11-22,MSFT,411.37,417.40,411.06,417.00,24814600,10347688200.00,0
1732199400000,2024-11-21,MSFT,419.50,419.78,410.29,412.87,20780200,8579521072.53,0
1732113000000,2024-11-20,MSFT,416.87,417.29,410.58,415.49,19191700,7973959245.58,0
